Formation,Age (mya),Age (gya),Lithology,d13C carb,# samples,Abbreviated reference,Full reference source
Belt,1450,1.45,lime,2.6,1,hoering62,SV2002
"Empire, Belt Sgp",1450,1.45,lime,-2.55,2,hall96,SV2002
"Empire, Belt Sgp",1450,1.45,dol,-1.6,1,hall96,SV2002
Helena,1450,1.45,carb,0.75,322,frank97,RefList
"Helena, Belt Sgp",1450,1.45,lime,-0.92,46,hall96,SV2002
"Helena, Belt Sgp",1450,1.45,dol,-0.01,34,hall96,SV2002
"Kotuikan, Anabar",1450,1.45,dol,-1.27,15,knoll95a,SV2002
"Lonjiayuan Fm, Luonan",1450,1.45,lime,0.21,16,xiao97,SV2002
"Lonjiayuan Fm, Luonan",1450,1.45,dol,0.17,19,xiao97,SV2002
"Newland, Belt Sgp",1450,1.45,lime,1.33,12,hall96,SV2002
"Newland, Belt Sgp",1450,1.45,dol,-0.1,7,hall96,SV2002
"Siyeh, Belt Sgp",1450,1.45,lime,-0.02,29,hall96,SV2002
"Siyeh, Belt Sgp",1450,1.45,dol,0.24,21,hall96,SV2002
"Snowslip, Belt Sgp",1450,1.45,lime,-1.96,5,hall96,SV2002
"Snowslip, Belt Sgp",1450,1.45,dol,-0.82,5,hall96,SV2002
Spokane,1450,1.45,dol,-3.18,10,lange87,SV2002
"Spokane/Greyson, Belt Sgp",1450,1.45,lime,1.55,6,hall96,SV2002
"Wallace, Belt Sgp",1450,1.45,lime,-1.37,24,hall96,SV2002
"Wallace, Belt Sgp",1450,1.45,dol,-0.89,16,hall96,SV2002
"Yangzhuang Fm, Jixian",1450,1.45,lime,-1.4,4,xiao97,SV2002
Gaoyuzhuang Fm.,1434,1.434,Dol.,-0.319047619,21,Chu et al. (2007),RefList
"Shepard, Belt Sgp",1425,1.425,lime,-3,11,hall96,SV2002
"Shepard, Belt Sgp",1425,1.425,dol,-3.14,10,hall96,SV2002
Jixian,1400,1.4,dol,-0.71,48,zhong92,SV2002
"Kheinjua, Vindhyan",1400,1.4,lime,0.9,1,friedman96,SV2002
"Kheinjua, Vindhyan, Son Valley",1400,1.4,dol,0.38,8,"ray, unpublished (see PMCID ref)",SV2002
Libby,1400,1.4,lime,-2.25,11,hall96,SV2002
Libby,1400,1.4,dol,-1.07,3,hall96,SV2002
Ming Tombs,1400,1.4,dol,-0.88,112,zhong92,SV2002
"Mt Shields, Belt Sgp",1400,1.4,lime,0.01,9,hall96,SV2002
"Mt Shields, Belt Sgp",1400,1.4,dol,0.36,9,hall96,SV2002
"Yusmastakh, Anabar",1400,1.4,dol,-0.39,22,knoll95a,SV2002
Bungle Bungle,1375,1.375,carb,-0.7,7,schid83,SV2002
Cuddapah,1350,1.35,lime,-0.9,1,schid83,SV2002
Cuddapah,1350,1.35,dol,-0.9,1,eichman75,SV2002
"Huanglianduo Fm, Shuiyougou",1350,1.35,dol,-0.07,35,xiao97,SV2002
Sibley,1350,1.35,dol,-0.3,1,schid75,SV2002
"Wumishan Fm, Jixian",1350,1.35,lime,0.16,10,xiao97,SV2002
"Wumishan Fm, Jixian",1350,1.35,dol,-0.2,1,xiao97,SV2002
"Xunjiansi Fm, Luonan",1350,1.35,lime,-0.29,17,xiao97,SV2002
"Xunjiansi Fm, Luonan",1350,1.35,dol,-0.04,18,xiao97,SV2002
Yangzhuang Fm.,1350,1.35,Dol.,-0.15,16,Chu et al. (2007),RefList
Badami,1300,1.3,dol,3.6,2,sath87,SV2002
"Treghorkha Fm, Uchur-Maya",1300,1.3,lime,-0.6,1,bartley01,SV2002
"Treghorkha Fm, Uchur-Maya",1300,1.3,dol,-1.64,5,bartley01,SV2002
Wumishan Fm.,1260,1.26,Dol.,0.556521739,23,Chu et al. (2007),RefList
Avzyan ,1230,1.23,lime/dol,1.017913386,254,Bartley et al. (2007),RefList
"Society Cliff Fm, Bylot Spgp",1210,1.21,dol,2.611111111,18,Kah et al. (1999) Can.J.Earth Sci.,RefList
Hongshuizhuang Fm.,1208,1.208,Dol.,-0.957142857,7,Chu et al. (2007),RefList
Clarke,1200,1.2,lime,0.8,1,veizer76,SV2002
Mescal Fm,1200,1.2,dol,3.1,16,beeunas85,SV2002
Hunting Fm,1175,1.175,dol,2.2,20,kah99,SV2002
"Narssarssuk Fm, Lower Red",1175,1.175,dol,1.73,3,kah99,SV2002
Society Cliffs Fm,1175,1.175,dol,3.65,76,kah99,SV2002
Society Cliffs Fm,1175,1.175,dol,2.5,69,kah01,SV2002
Society Cliffs Fm,1175,1.175,lime,2.5,3,kah01,SV2002
Society Cliffs Fm,1175,1.175,shale,-0.2,6,kah01,SV2002
"Narssarssuk Fm, Aorferneq",1150,1.15,carb,1.16,5,kah99,SV2002
Victor Bay Fm,1150,1.15,carb,0.81,30,kah99,SV2002
Victor Bay Fm,1150,1.15,lime,2,5,kah01,SV2002
"Tieling Fm, Jixian",1150,1.15,lime,-0.35,10,xiao97,SV2002
"Beidajian Fm, Shuiyougou",1150,1.15,dol,-0.97,4,xiao97,SV2002
Athole Point Fm,1125,1.125,lime,1.29,29,kah99,SV2002
"Narssarssuk Fm, Upper Red",1125,1.125,carb,2.2,4,kah99,SV2002
Tieling Fm.,1125,1.125,Dol.,-0.616666667,18,Chu et al. (2007),RefList
"Tirhon Dolostone, Chitrakut",1100,1.1,dol,-0.41,8,"ray, unpublished (see PMCID ref)",SV2002
"Rohtasgarh Limestone, Son Valley",1100,1.1,lime,-1.16,38,"ray, unpublished (see PMCID ref)",SV2002
"Rohtasgarh Limestone, Son Valley",1100,1.1,dol,-0.67,26,"ray, unpublished (see PMCID ref)",SV2002
"Pellet Dolostone, Chitrakut",1100,1.1,dol,-0.96,7,"ray, unpublished (see PMCID ref)",SV2002
"Nimbehera Limestone, Rajasthan",1100,1.1,lime,2.35,22,"ray, unpublished (see PMCID ref)",SV2002
"Duguan Fm, Luonan",1100,1.1,lime,0.3,3,xiao97,SV2002
"Duguan Fm, Luonan",1100,1.1,dol,-1.58,9,xiao97,SV2002
"Eurelia Beds, Copper Claim",1100,1.1,lime,3.31,28,lambert84a,SV2002
"Eurelia Beds, Copper Claim",1100,1.1,dol,1.83,27,lambert84a,SV2002
"Jing'eryu Fm, Jixian",1100,1.1,lime,2.31,11,xiao97,SV2002
Mozambique,1100,1.1,lime,0.4,10,arne85,SV2002
En Nesoar,1110,1.11,shale,-2.655555556,18,Gilleaudeau and Kah (2013),RefList
Touirist,1105,1.105,shale,0.070588235,17,Gilleaudeau and Kah (2013),RefList
"Fengjiawan Fm, Luonan",1050,1.05,lime,1.63,4,xiao97,SV2002
"Fengjiawan Fm, Luonan",1050,1.05,dol,1.97,3,xiao97,SV2002
"Linok Fm, Turukhansk",1050,1.05,lime,-0.7,9,bartley01,SV2002
"Linok Fm, Sukhaya-Tunguska",1050,1.05,lime,-0.96,15,knoll95a,SV2002
"Linok Fm, Sukhaya-Tunguska",1050,1.05,dol,-2.45,2,knoll95a,SV2002
"Malgina Fm, Uchur-Maya",1050,1.05,lime,1,1,bartley01,SV2002
"Malgina Fm, Uchur-Maya",1050,1.05,dol,0.25,21,bartley01,SV2002
Oakway,1050,1.05,dol,-1,1,schid75,SV2002
"Svetlyi Fm, Uchur-Maya",1050,1.05,dol,0.4,13,bartley01,SV2002
Burovaya,1025,1.025,carb,2.3,5,bart01,SV2002
Derevnya,1025,1.025,lime,0.7,1,bart01,SV2002
Ignikan,1025,1.025,carb,1.4,10,bart01,SV2002
Miroyedikha,1025,1.025,carb,1.5,15,bart01,SV2002
Neryuen,1025,1.025,carb,1.5,6,bart01,SV2002
Shorikha,1025,1.025,dol,0.8,5,bart01,SV2002
Sukhaya Tunguska Fm,1025,1.025,lime,0.5,26,bart01,SV2002
"Sukhaya Tunguska Fm, Sukhaya Tunguska",1025,1.025,lime,1.53,6,knoll95a,SV2002
Sukhaya Tunguska Fm,1025,1.025,dol,-0.6,22,knoll95a,SV2002
"Rechka Fm, Nizhnaya Tunguska",1025,1.025,lime,4.1,1,knoll95a,SV2002
Tsipanda,1025,1.025,carb,1,27,bart01,SV2002
Turukhansk,1025,1.025,dol,3.1,28,bart01,SV2002
Kundelungu,1000,1,dol,1.3,1,schid75,SV2002
Kurnool,1000,1,lime,3.4,1,eich75,SV2002
"Ank Shale, Kurnool (lower)",1000,1,lime,3.4,1,schid75,SV2002
Kurnool (upper),1000,1,lime,-0.6,1,schid75,SV2002
Mwashia,1000,1,dol,-3.5,1,schid75,SV2002
Roan (lower),1000,1,carb,-2.1,12,schid75,SV2002
Roan (upper),1000,1,dol,6.8,1,schid75,SV2002
Little Dal,906.7709109,0.906770911,carb,2.852198707,81,Halverson et al. (2006),RefList
Aok,900,0.9,lime,2.409259259,27,Jones et al. (2010),RefList
I-5,900,0.9,carb,1.7,51,fairc90,SV2002
Taoudenni,900,0.9,carb,0.1,8,schid75,SV2002
Taoudenni,900,0.9,carb,0.6,3,eich75,SV2002
Little Dal,895.3242547,0.895324255,carb,4.260623716,51,Halverson et al. (2006),RefList
Little Dal,884.9544314,0.884954431,carb,4.765076655,41,Halverson et al. (2006),RefList
Little Dal,875.0220328,0.875022033,carb,5.064396104,44,Halverson et al. (2006),RefList
I-6,875,0.875,lime,-2.6,13,fairc90,SV2002
I-7,875,0.875,lime,-0.7,5,fairc90,SV2002
Sirohi Group,870,0.87,carb,0.652380952,42,Purohit et al. (2011),RefList
Little Dal,864.9297661,0.864929766,carb,3.983752381,45,Halverson et al. (2006),RefList
Boot Inlet,860,0.86,lime,4.231363636,66,Jones et al. (2010),RefList
Little Dal,855.0931588,0.855093159,carb,4.31797619,44,Halverson et al. (2006),RefList
Beck Spring,850,0.85,dol,4.2,13,tuck82,SV2002
Bitter Springs,850,0.85,carb,1.3,14,veiz76,SV2002
Bitter Springs,850,0.85,chert,3.4,1,schid83,SV2002
Chattisgarh,850,0.85,carb,3.9,5,schid75,SV2002
Chattisgarh,850,0.85,lime,5,1,eich75,SV2002
Kapp Lord,850,0.85,carb,5.1,4,knoll86,SV2002
Kingston Peak,850,0.85,lime,2,7,tuck87,PPRG
Persberget,850,0.85,shale,1.1,1,knoll86,SV2002
Little Dal,844.3389807,0.844338981,carb,4.791457143,20,Halverson et al. (2006),RefList
Jingeryu Fm.,842.2,0.8422,lime,1.422222222,18,Chu et al. (2007),RefList
Little Dal,831.3022664,0.831302266,carb,1.570242857,5,Halverson et al. (2006),RefList
Kingbreen,825,0.825,carb,3.6,4,knoll86,SV2002
Little Dal,815.4598427,0.815459843,carb,4.951777778,45,Halverson et al. (2006),RefList
Grusdievbreen,813.8667692,0.813866769,carb,2.721210609,169,Halverson et al. (2005),RefList
Little Dal,802.8767791,0.802876779,carb,-1.64216369,32,Halverson et al. (2006),RefList
Wynniatt,800,0.8,lime,5.35215736,394,Jones et al. (2010),RefList
Burra,800,0.8,chert,4.6,1,schid83,SV2002
Glasgowbreen,800,0.8,shale,-5.8,1,knoll86,SV2002
Little Dal,793.2530148,0.793253015,carb,2.648470517,47,Halverson et al. (2006),RefList
Svanbergfjellet,791.7448291,0.791744829,carb,3.256013292,163,Halverson et al. (2005),RefList
Little Dal,782.6954175,0.782695418,carb,2.25145558,64,Halverson et al. (2006),RefList
Draken,776.0717149,0.776071715,carb,5.873462207,63,Halverson et al. (2005),RefList
Bed 7,775,0.775,lime,6.6,1,knoll86,SV2002
Bed 8,775,0.775,lime,4.3,1,knoll86,SV2002
Bed 9,775,0.775,carb,6.2,6,knoll86,SV2002
Grusdievbreen,775,0.775,carb,4.5,6,knoll86,SV2002
Oxfordbreen,775,0.775,shale,2.9,2,knoll86,SV2002
R. Wakefield,775,0.775,dol,2.7,4,veiz76,SV2002
Raudstop,775,0.775,carb,3.5,2,knoll86,SV2002
Skillogalee,775,0.775,dol,2.5,5,veiz76,SV2002
Skillogalee,775,0.775,dol,-1.1,2,schid75,SV2002
Skillogalee,775,0.775,dol,-2,1,eich75,SV2002
Backlundtoppen,759.347503,0.759347503,carb,6.840379592,182,Halverson et al. (2005),RefList
Bed 10,750,0.75,dol,-1.4,1,knoll86,SV2002
Bed 11,750,0.75,carb,4.5,5,knoll86,SV2002
Bed 12,750,0.75,dol,1.7,1,knoll86,SV2002
Bed 13,750,0.75,dol,4.7,1,knoll86,SV2002
Damara,750,0.75,carb,2.6,11,schid75,SV2002
Damara,750,0.75,carb,5.8,3,eich75,SV2002
Elenore Bay,750,0.75,carb,5.2,10,schid75,SV2002
Elenore Bay,750,0.75,carb,6,7,eich75,SV2002
Landrigan,750,0.75,dol,-5.4,1,will79,SV2002
Sturtian,750,0.75,lime,2.9,3,veiz76,SV2002
Svanbergfjellet,750,0.75,carb,2.3,4,knoll86,SV2002
Tapley Hill,750,0.75,dol,1.8,1,will79,SV2002
Tapley Hill,750,0.75,lime,-0.2,1,schid75,SV2002
Tapley Hill,750,0.75,dol,-2.9,10,lamb84,SV2002
Tapley Hill,750,0.75,carb,-0.2,20,lamb84,SV2002
Tapley Hill,750,0.75,dol,-0.8,26,knut83,SV2002
Tindelpina,750,0.75,dol,1.8,1,veiz76,SV2002
Russøya,727.9215534,0.727921553,carb,0.238677656,78,Halverson et al. (2005),RefList
Bed 14,725,0.725,lime,4.4,1,knoll86,SV2002
Bed 15,725,0.725,dol,5.6,1,knoll86,SV2002
Draken,725,0.725,carb,5.7,9,knoll86,SV2002
Rysso,725,0.725,carb,5.7,11,knoll86,SV2002
16 Tsagaan Oloom,700,0.7,lime,-0.48,24,shields02,SV2002
Backlundtoppen,700,0.7,carb,5.4,8,knoll86,SV2002
Backlundtoppen,700,0.7,lime,6.6,3,fairc87,SV2002
Bed 17,700,0.7,carb,9.1,2,knoll86,SV2002
Bed 18,700,0.7,carb,5.4,4,knoll86,SV2002
Biri,700,0.7,lime,1.7,11,tuck83,SV2002
Brighton,700,0.7,lime,2,2,veiz76,SV2002
Elbobreen,700,0.7,carb,3.3,4,knoll86,SV2002
Elbobreen,700,0.7,carb,4.1,24,fairc87,SV2002
Rasthof,691.1374199,0.69113742,carb,2.9503,100,Halverson et al. (2005),RefList
17 Tsagaan Oloom,675,0.675,lime,3.1,2,shields02,SV2002
Bed 19,675,0.675,lime,4.7,6,knoll86,SV2002
Bed 19/20,675,0.675,carb,-5.3,3,knoll86,SV2002
Bhima,675,0.675,dol,3.3,2,sath87,SV2002
Blackaberget,675,0.675,silt,2,5,knoll86,SV2002
Datanpo,675,0.675,carb,-4.6,1,lamb87,SV2002
Klackaberget,675,0.675,shale,2.8,2,knoll86,SV2002
Moonlight Valley,675,0.675,dol,-1.2,7,will79,SV2002
Umberatana,675,0.675,carb,3.3,3,schid75,SV2002
Gruis,672.157961,0.672157961,carb,4.402857143,21,Halverson et al. (2005),RefList
Ombaatjie,659.4612711,0.659461271,carb,3.808939258,127,Halverson et al. (2005),RefList
18 Tsagaan Oloom,650,0.65,carb,5.45,6,shields02,SV2002
Cango,650,0.65,carb,-1.7,2,eich75,SV2002
Duoshantuo,650,0.65,carb,4.1,16,lamb87,SV2002
Egan,650,0.65,dol,-0.5,1,will79,SV2002
Etina,650,0.65,lime,9.5,2,veiz76,SV2002
Malmesbury,650,0.65,carb,1.5,13,schid75,SV2002
Malmesbury,650,0.65,carb,0.8,2,eich75,SV2002
Nuccaleena,650,0.65,dol,-2.5,2,will79,SV2002
Nuccaleena,650,0.65,dol,-2,1,veiz76,SV2002
Trezona,650,0.65,lime,-7.5,3,veiz76,SV2002
Walsh,650,0.65,dol,-0.7,2,will79,SV2002
Willochra,650,0.65,lime,3.3,1,veiz76,SV2002
Wilsonbreen,650,0.65,carb,4,1,knoll86,SV2002
Wilsonbreen,650,0.65,carb,1.8,11,fairc87,SV2002
Wonokaan,650,0.65,lime,-7.2,1,veiz76,SV2002
"Cap carb, Doushantuo",635.2,0.6352,dol,2.92125,8,Tahata et al. (2013),RefList
Hadash,635,0.635,dol,-0.647502333,3,Fike et al. 2006,RefList
Maieberg,633.6061939,0.633606194,carb,-2.886389137,96,Halverson et al. (2005),RefList
Elandshoek,626.8121692,0.626812169,carb,-0.871634383,59,Halverson et al. (2005),RefList
19 Tsagaan Oloom,625,0.625,carb,7.32,31,shields02,SV2002
Canyon,625,0.625,shale,-2.7,2,knoll86,SV2002
Spiral Ck,625,0.625,carb,-2.6,2,knoll86,SV2002
Tillite,625,0.625,shale,1.7,2,knoll86,SV2002
M. Bay,621.7,0.6217,lime,2.354393906,16,Fike et al. (2006),RefList
Hüttenberg,618.0096333,0.618009633,carb,4.442946237,31,Halverson et al. (2005),RefList
"Member II, Doushantuo",610,0.61,shale,4.05423913,92,Tahata et al. (2013),RefList
Karibib,609.5,0.6095,carb,1.929310345,58,Halverson et al. (2005),RefList
Khufai,605.4,0.6054,lime,2.378414794,34,Fike et al. (2006),RefList
Krol C,600,0.6,carb,1.9,9,ahar86,PPRG
Kuibis,600,0.6,carb,1.3,9,schid75,SV2002
Kuibis,600,0.6,carb,2.9,2,eich75,SV2002
"Luoquan Fm, Shuiyougou",600,0.6,lime,-0.8,1,xiao97,SV2002
Pertatataka,600,0.6,dol,5.2,2,veiz76,SV2002
Yudoma,600,0.6,dol,-0.5,32,magar86,SV2002
Shuram,582.1,0.5821,lime,-7.298869033,92,Fike et al. (2006),RefList
20 Tsagaan Oloom,575,0.575,carb,4.8,4,shields02,SV2002
Denying,575,0.575,dol,2.5,15,lamb87,SV2002
Dolomite Inferieure,575,0.575,dol,1,10,tuck86,SV2002
Dracoisen,575,0.575,carb,3.1,2,knoll86,SV2002
Dracoisen,575,0.575,lime,4.2,11,fairc87,SV2002
Krol D,575,0.575,dol,2.9,11,ahar86,PPRG
Krol E,575,0.575,dol,3,3,ahar86,PPRG
Lie de Vin,575,0.575,lime,-2.5,14,tuck86,SV2002
PC/C Boundary Beds,575,0.575,lime,-0.5,1,lamb87,SV2002
Reed,575,0.575,dol,1.7,5,pprg92,SV2002
"Member III, Dengying",570,0.57,dol,4.361573034,89,Tahata et al. (2013),RefList
Buah,554,0.554,dol,1.262293441,34,Fike et al. (2006),RefList
"Member IV, Dengying",551.1,0.5511,shale,-4.16,3,Tahata et al. (2013),RefList
21 Tsagaan Oloom,550,0.55,lime,5.43,4,shields02,SV2002
22 Tsagaan Oloom,550,0.55,carb,4.5,2,shields02,SV2002
23 Tsagaan Oloom,550,0.55,dol,4.1,1,shields02,SV2002
Calcaire Superieur,550,0.55,lime,1.4,10,tuck86,SV2002
Chapel Is,550,0.55,lime,-1.23,3,pprg92,SV2002
Kirtonryggen,550,0.55,lime,-0.2,2,knoll86,SV2002
Schisto Calcaire,550,0.55,shale,-0.2,8,tuck86,SV2002
Schwarzrand,550,0.55,carb,-2.4,12,schid75,SV2002
Transition,550,0.55,lime,0.1,9,tuck86,SV2002
Dengying Formation (Baimatuo member),550,0.55,dol,0.786666667,3,Ishikawa et al. (2013),RefList
"Hamajin, Dengying",545,0.545,dol,1.172352941,17,Tahata et al. (2013),RefList
Pastores ,543,0.543,lime,-3.345714286,35,Valladares et al. (2006),RefList
Shiyantou Fm.,543,0.543,shale,-1.123333333,76,Cremonese et al. (2013) PrecRes,RefList
Dahai Mb.,543,0.543,shale,4.349615385,26,Cremonese et al. (2013) PrecRes,RefList
Zhongyicun Mb.,543,0.543,shale,-4.182222222,49,Cremonese et al. (2013) PrecRes,RefList
Daibu Mb.,543,0.543,shale,-6.919090909,13,Cremonese et al. (2013) PrecRes,RefList
Dengying Fm.,543,0.543,shale,-0.337142857,7,Cremonese et al. (2013) PrecRes,RefList
"Shibantan, Dengying",540,0.54,lime,4.6365,20,Tahata et al. (2013),RefList
HAYES 1999 Jurassic-Cambrian,550,0.55,,0.5,,Hayes et al. (1999) Chem. Geo.,RefList
"Anti-Atlas, Morocco",543.3268261,0.543326826,carb,-2.147062731,542,Maloof et al. (2005),RefList
HAYES 1999 Jurassic-Cambrian,540,0.54,,0.52,,Hayes et al. (1999) Chem. Geo.,RefList
Yanjiahe Formation,540,0.54,shale,-2.328113208,106,Ishikawa et al. (2013),RefList
"Anti-Atlas, Morocco",537.7902215,0.537790221,carb,-1.114089552,67,Maloof et al. (2005),RefList
"Anti-Atlas, Morocco",531.979341,0.531979341,carb,2.35995935,123,Maloof et al. (2005),RefList
HAYES 1999 Jurassic-Cambrian,530,0.53,,-0.89,,Hayes et al. (1999) Chem. Geo.,RefList
Basal part of the Shuijingtuo Formation,530,0.53,shale,-2.4875,20,Ishikawa et al 2013,RefList
"Anti-Atlas, Morocco",526.653963,0.526653963,carb,1.214566416,399,Maloof et al. (2005),RefList
HAYES 1999 Jurassic-Cambrian,525,0.525,,-0.96,,Hayes et al. (1999) Chem. Geo.,RefList
"Anti-Atlas, Morocco",522.3061253,0.522306125,carb,-1.726619469,678,Maloof et al. (2005),RefList
Shuijingtuo Formation,520,0.52,shale,-0.72,38,Ishikawa et al. (2013),RefList
HAYES 1999 Jurassic-Cambrian,520,0.52,,-0.6,,Hayes et al. (1999) Chem. Geo.,RefList
"Anti-Atlas, Morocco",518.2355981,0.518235598,carb,-0.169690096,313,Maloof et al. (2005),RefList
HAYES 1999 Jurassic-Cambrian,515,0.515,,-0.16,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,510,0.51,,-0.12,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,505,0.505,,-0.27,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,500,0.5,,-1.34,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,495,0.495,,-1.11,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,490,0.49,,-1.24,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,485,0.485,,-1.24,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,480,0.48,,-1.28,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,475,0.475,,-1.11,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,470,0.47,,-1.07,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,465,0.465,,-0.8,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,460,0.46,,-0.2,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,455,0.455,,-0.13,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,450,0.45,,0.23,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,445,0.445,,1.2,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,440,0.44,,1.66,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,435,0.435,,1.57,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,430,0.43,,1.65,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,425,0.425,,1.51,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,420,0.42,,2,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,415,0.415,,2.2,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,410,0.41,,2.59,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,405,0.405,,3.01,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,400,0.4,,1.66,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,395,0.395,,0.91,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,390,0.39,,0.89,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,385,0.385,,0.73,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,380,0.38,,0.65,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,375,0.375,,0.89,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,370,0.37,,0.89,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,365,0.365,,1.32,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,360,0.36,,2.12,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,355,0.355,,2.76,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,350,0.35,,3,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,345,0.345,,2.97,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,340,0.34,,2.59,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,335,0.335,,2.58,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,330,0.33,,2.71,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,325,0.325,,3.08,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,320,0.32,,4.03,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,315,0.315,,4.36,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,310,0.31,,4.52,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,305,0.305,,4.17,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,300,0.3,,3.99,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,295,0.295,,3.91,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,290,0.29,,3.78,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,285,0.285,,3.82,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,280,0.28,,4.04,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,275,0.275,,3.33,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,270,0.27,,2.87,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,265,0.265,,3.61,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,260,0.26,,4.3,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,255,0.255,,4.05,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,250,0.25,,3.72,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,245,0.245,,2.57,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,240,0.24,,1.5,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,235,0.235,,1.69,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,230,0.23,,1.87,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,225,0.225,,3.02,,Hayes et al. (1999) Chem. Geo.,RefList
HAYES 1999 Jurassic-Cambrian,220,0.22,,3.26,,Hayes et al. (1999) Chem. Geo.,RefList
